Phi_ext,I_s_original,I_s_trend,I_s_detrended,I_s_ls_fit
0.0028608,2.1e-06,1.5765453329198157e-06,5.234546670801841e-07,2.1092387124690452e-06
0.002861,2.1e-06,1.5772045327671322e-06,5.227954672328676e-07,2.116417390302736e-06
0.0028612,2.1e-06,1.5778637326144486e-06,5.221362673855512e-07,2.1139387582666413e-06
0.0028614,2.1e-06,1.5785229324617668e-06,5.21477067538233e-07,2.101857678452929e-06
0.0028616,2.1e-06,1.579182132309085e-06,5.208178676909149e-07,2.0803969028786218e-06
0.0028618,2.1e-06,1.5798413321564014e-06,5.201586678435984e-07,2.049943178873666e-06
0.002862,2.04e-06,1.5805005320037195e-06,4.5949946799628045e-07,2.011040487161253e-06
0.0028622,2.04e-06,1.581159731851036e-06,4.58840268148964e-07,1.9643805308575354e-06
0.0028624,1.92e-06,1.581818931698354e-06,3.3818106830164573e-07,1.910790641681833e-06
0.0028626,1.92e-06,1.5824781315456706e-06,3.375218684543293e-07,1.8512193148191017e-06
0.0028628,1.8e-06,1.5831373313929887e-06,2.1686266860701122e-07,1.7867196253851665e-06
0.002863,1.8e-06,1.5837965312403051e-06,2.1620346875969477e-07,1.7184308163417337e-06
0.0028632,1.74e-06,1.5844557310876233e-06,1.5554426891237677e-07,1.6475583799197704e-06
0.0028634,1.74e-06,1.5851149309349397e-06,1.5488506906506032e-07,1.5753529806557988e-06
0.0028636,1.56e-06,1.5857741307822579e-06,-2.5774130782257795e-08,1.503088588757395e-06
0.0028638,1.62e-06,1.5864333306295743e-06,3.35666693704256e-08,1.4320402058321153e-06
0.002864,1.56e-06,1.5870925304768908e-06,-2.70925304768907e-08,1.363461572694827e-06
0.0028642,1.44e-06,1.587751730324209e-06,-1.4775173032420897e-07,1.2985632488902041e-06
0.0028644,1.38e-06,1.588410930171527e-06,-2.0841093017152717e-07,1.2384914471321027e-06
0.0028646,1.32e-06,1.5890701300188435e-06,-2.690701300188435e-07,1.1843079928698594e-06
0.0028648,1.32e-06,1.58972932986616e-06,-2.697293298661599e-07,1.136971759215481e-06
0.002865,1.26e-06,1.5903885297134781e-06,-3.3038852971347813e-07,1.0973219019897523e-06
0.0028652,1.14e-06,1.5910477295607963e-06,-4.510477295607962e-07,1.066063187801727e-06
0.0028654,1.08e-06,1.5917069294081144e-06,-5.117069294081144e-07,1.0437536718840807e-06
0.0028656,1.14e-06,1.5923661292554292e-06,-4.523661292554291e-07,1.0307949410063965e-06
0.0028658,1.14e-06,1.5930253291027473e-06,-4.5302532910274724e-07,1.027425092106544e-06
0.002866,1.14e-06,1.5936845289500655e-06,-4.536845289500654e-07,1.033714569376742e-06
0.0028662,1.08e-06,1.5943437287973836e-06,-5.143437287973836e-07,1.0495649326168072e-06
0.0028664,9.6e-07,1.5950029286447e-06,-6.350029286447002e-07,1.0747105783789665e-06
0.0028666,9.00000000000001e-07,1.5956621284920165e-06,-6.956621284920155e-07,1.1087233837769461e-06
0.0028668,9.00000000000001e-07,1.5963213283393347e-06,-6.963213283393337e-07,1.151020191840788e-06
0.002867,9.6e-07,1.5969805281866528e-06,-6.369805281866529e-07,1.2008730074666874e-06
0.0028672,1.2e-06,1.5976397280339693e-06,-3.9763972803396933e-07,1.2574217257473414e-06
0.0028674,1.02e-06,1.5982989278812857e-06,-5.782989278812858e-07,1.3196891700862268e-06
0.0028676,1.2e-06,1.5989581277286039e-06,-3.989581277286039e-07,1.3865981772567391e-06
0.0028678,1.38e-06,1.599617327575922e-06,-2.196173275759221e-07,1.4569904306115199e-06
0.002868,1.38e-06,1.6002765274232385e-06,-2.2027652742323855e-07,1.5296467121488207e-06
0.0028682,1.62e-06,1.600935727270555e-06,1.9064272729445026e-08,1.603308219409477e-06
0.0028684,1.68e-06,1.601594927117873e-06,7.840507288212694e-08,1.6766985745150736e-06
0.0028686,1.74e-06,1.6022541269651895e-06,1.3774587303481055e-07,1.7485461404319414e-06
0.0028688,1.86e-06,1.6029133268125077e-06,2.570866731874923e-07,1.8176062543464121e-06
0.002869,1.74e-06,1.6035725266598241e-06,1.3642747334017595e-07,1.8826829894840347e-06
0.0028692,1.92e-06,1.6042317265071423e-06,3.1576827349285757e-07,1.942650064780409e-06
0.0028694,1.98e-06,1.6048909263544587e-06,3.751090736455414e-07,1.996470536835796e-06
0.0028696,1.98e-06,1.6055501262017769e-06,3.7444987379822324e-07,2.0432149299184446e-06
0.0028698,2.04e-06,1.606209326049095e-06,4.3379067395090494e-07,2.0820774870165583e-06
0.00287,2.04e-06,1.6068685258964115e-06,4.331314741035885e-07,2.112390257730997e-06
0.0028702,2.16e-06,1.607527725743728e-06,5.524722742562722e-07,2.1336347767787326e-06
0.0028704,2.1e-06,1.608186925591046e-06,4.918130744089537e-07,2.1454511288712037e-06
0.0028706,2.16e-06,1.6088461254383642e-06,5.511538745616359e-07,2.1476442415144703e-06
0.0028708,2.16e-06,1.6095053252856807e-06,5.504946747143194e-07,2.140187295661067e-06
0.002871,2.16e-06,1.6101645251329971e-06,5.49835474867003e-07,2.123222194615573e-06
0.0028712,2.16e-06,1.6108237249803153e-06,5.491762750196848e-07,2.0970570829969694e-06
0.0028714,2.1e-06,1.6114829248276334e-06,4.885170751723664e-07,2.062160959102405e-06
0.0028716,1.98e-06,1.6121421246749499e-06,3.6785787532505025e-07,2.0191554749120683e-06
0.0028718,1.98e-06,1.6128013245222663e-06,3.671986754777338e-07,1.9688040670713635e-06
0.002872,1.98e-06,1.6134605243695844e-06,3.6653947563041565e-07,1.9119986089364336e-06
0.0028722,1.86e-06,1.6141197242169026e-06,2.458802757830974e-07,1.8497438169331662e-06
0.0028724,1.74e-06,1.6147789240642207e-06,1.2522107593577933e-07,1.783139684078422e-06
0.0028726,1.68e-06,1.6154381239115355e-06,6.456187608846451e-08,1.7133622475809146e-06
0.0028728,1.68e-06,1.6160973237588536e-06,6.390267624114637e-08,1.6416430269545673e-06
0.002873,1.62e-06,1.6167565236061718e-06,3.2434763938281583e-09,1.569247491991388e-06
0.0028732,1.56e-06,1.6174157234534882e-06,-5.741572345348814e-08,1.4974529372143124e-06
0.0028734,1.44e-06,1.6180749233008047e-06,-1.7807492330080472e-07,1.4275261495944852e-06
0.0028736,1.32e-06,1.6187341231481228e-06,-2.9873412314812277e-07,1.3607012598731923e-06
0.0028738,1.26e-06,1.619393322995441e-06,-3.59393322995441e-07,1.2981581650047308e-06
0.002874,1.32e-06,1.6200525228427574e-06,-3.0005252284275737e-07,1.2410018987031413e-06
0.0028742,1.26e-06,1.6207117226900756e-06,-3.607117226900756e-07,1.1902433109814802e-06
0.0028744,1.08e-06,1.621370922537392e-06,-5.41370922537392e-07,1.146781394335327e-06
0.0028746,1.14e-06,1.6220301223847102e-06,-4.820301223847101e-07,1.111387565715787e-06
0.0028748,1.08e-06,1.6226893222320266e-06,-5.426893222320266e-07,1.084692179007741e-06
0.002875,1.02e-06,1.6233485220793448e-06,-6.033485220793448e-07,1.0671735038871809e-06
0.0028752,1.08e-06,1.6240077219266612e-06,-5.440077219266612e-07,1.0591493636928867e-06
0.0028754,1.02e-06,1.6246669217739794e-06,-6.046669217739794e-07,1.0607715786040286e-06
0.0028756,9.6e-07,1.6253261216212958e-06,-6.653261216212959e-07,1.0720233111937895e-06
0.0028758,9.6e-07,1.625985321468614e-06,-6.659853214686141e-07,1.0927193608130357e-06
0.002876,1.02e-06,1.6266445213159304e-06,-6.066445213159305e-07,1.1225094016594939e-06
0.0028762,1.26e-06,1.6273037211632486e-06,-3.6730372116324857e-07,1.1608841078970928e-06
0.0028764,1.26e-06,1.627962921010565e-06,-3.67962921010565e-07,1.2071840587481806e-06
0.0028766,1.32e-06,1.6286221208578832e-06,-3.086221208578831e-07,1.2606112678564883e-06
0.0028768,1.38e-06,1.6292813207052013e-06,-2.492813207052014e-07,1.320243135341165e-06
0.002877,1.56e-06,1.629940520552516e-06,-6.994052055251597e-08,1.3850485786104542e-06
0.0028772,1.56e-06,1.6305997203998342e-06,-7.059972039983412e-08,1.4539060598593512e-06
0.0028774,1.68e-06,1.6312589202471524e-06,4.874107975284764e-08,1.5256231951639917e-06
0.0028776,1.68e-06,1.6319181200944705e-06,4.80818799055295e-08,1.5989576021850676e-06
0.0028778,1.8e-06,1.6325773199417853e-06,1.6742268005821465e-07,1.6726386220897726e-06
0.002878,1.74e-06,1.6332365197891034e-06,1.0676348021089665e-07,1.7453895358074622e-06
0.0028782,1.92e-06,1.6338957196364216e-06,2.8610428036357827e-07,1.8159498863624195e-06
