Phi_ext,I_s_measured,I_s_josephson_fit,residuals
0.0029024,1.32e-06,1.0644084119066513e-05,-9.324084119066514e-06
0.0029026,1.26e-06,1.0670491413543417e-05,-9.410491413543417e-06
0.0029028,1.14e-06,1.0709623778868448e-05,-9.569623778868449e-06
0.002903,1.2e-06,1.0761549658775729e-05,-9.561549658775728e-06
0.0029032,1.14e-06,1.082592912073788e-05,-9.68592912073788e-06
0.0029034,1.08e-06,1.09019252347866e-05,-9.8219252347866e-06
0.0029036,1.02e-06,1.0988141253451104e-05,-9.968141253451103e-06
0.0029038,1.08e-06,1.108260560271967e-05,-1.000260560271967e-05
0.002904,1.08e-06,1.118282340821178e-05,-1.010282340821178e-05
0.0029042,1.14e-06,1.1285902078818359e-05,-1.014590207881836e-05
0.0029044,1.38e-06,1.138874098844526e-05,-1.000874098844526e-05
0.0029046,1.32e-06,1.1488257211147933e-05,-1.0168257211147934e-05
0.0029048,1.44e-06,1.1581608123218528e-05,-1.0141608123218528e-05
0.002905,1.38e-06,1.1666372679087936e-05,-1.0286372679087936e-05
0.0029052,1.56e-06,1.1740665819549735e-05,-1.0180665819549735e-05
0.0029054,1.74e-06,1.1803178950288953e-05,-1.0063178950288952e-05
0.0029056,1.98e-06,1.1853156225860598e-05,-9.873156225860599e-06
0.0029058,1.86e-06,1.1890326365845356e-05,-1.0030326365845357e-05
0.002906,1.98e-06,1.1914811901181466e-05,-9.934811901181467e-06
0.0029062,2.1e-06,1.1927034230738315e-05,-9.827034230738315e-06
0.0029064,2.1e-06,1.1927626834590957e-05,-9.827626834590957e-06
0.0029066,2.16e-06,1.1917363010004277e-05,-9.757363010004277e-06
0.0029068,2.22e-06,1.1897099927132686e-05,-9.677099927132685e-06
0.002907,2.22e-06,1.186773796262986e-05,-9.647737962629862e-06
0.0029072,2.28e-06,1.1830192890523854e-05,-9.550192890523854e-06
0.0029074,2.34e-06,1.178537812614443e-05,-9.44537812614443e-06
0.0029076,2.34e-06,1.173419439936582e-05,-9.39419439936582e-06
0.0029078,2.34e-06,1.1677524665113059e-05,-9.33752466511306e-06
0.002908,2.28e-06,1.1616232550702153e-05,-9.336232550702153e-06
0.0029082,2.28e-06,1.1551163092461518e-05,-9.271163092461518e-06
0.0029084,2.22e-06,1.1483144888575359e-05,-9.26314488857536e-06
0.0029086,2.16e-06,1.1412993084160426e-05,-9.252993084160426e-06
0.0029088,2.1e-06,1.1341512816048163e-05,-9.241512816048163e-06
0.002909,2.1e-06,1.1269502892849949e-05,-9.169502892849948e-06
0.0029092,1.92e-06,1.1197759581946793e-05,-9.277759581946792e-06
0.0029094,1.98e-06,1.1127080431126891e-05,-9.147080431126891e-06
0.0029096,1.98e-06,1.1058268073335018e-05,-9.078268073335018e-06
0.0029098,1.92e-06,1.0992133952693488e-05,-9.072133952693488e-06
0.00291,1.86e-06,1.0929501866192658e-05,-9.069501866192658e-06
0.0029102,1.8e-06,1.0871211133328428e-05,-9.071211133328428e-06
0.0029104,1.68e-06,1.0818119076501293e-05,-9.138119076501294e-06
0.0029106,1.62e-06,1.0771102305987803e-05,-9.151102305987803e-06
0.0029108,1.56e-06,1.0731056041103367e-05,-9.171056041103367e-06
0.002911,1.56e-06,1.0698890353141772e-05,-9.138890353141772e-06
0.0029112,1.44e-06,1.067552178637153e-05,-9.23552178637153e-06
0.0029114,1.38e-06,1.0661858327163056e-05,-9.281858327163056e-06
0.0029116,1.44e-06,1.0658775223922147e-05,-9.218775223922147e-06
0.0029118,1.32e-06,1.066707886885479e-05,-9.34707886885479e-06
0.002912,1.32e-06,1.068745610732789e-05,-9.367456107327891e-06
0.0029122,1.2e-06,1.0720407337943231e-05,-9.52040733794323e-06
0.0029124,1.26e-06,1.0766164077127351e-05,-9.506164077127351e-06
0.0029126,1.08e-06,1.0824595656473063e-05,-9.744595656473063e-06
0.0029128,1.14e-06,1.0895115326509716e-05,-9.755115326509716e-06
0.002913,1.08e-06,1.0976602284183983e-05,-9.896602284183984e-06
0.0029132,1.2e-06,1.1067360835249574e-05,-9.867360835249574e-06
0.0029134,1.08e-06,1.1165137941086283e-05,-1.0085137941086284e-05
0.0029136,1.08e-06,1.1267213070762367e-05,-1.0187213070762368e-05
0.0029138,1.5e-06,1.1370559359237051e-05,-9.870559359237052e-06
0.002914,1.38e-06,1.1472056366126511e-05,-1.0092056366126511e-05
0.0029142,1.32e-06,1.1568719332509326e-05,-1.0248719332509327e-05
0.0029144,1.56e-06,1.1657904626959593e-05,-1.0097904626959593e-05
0.0029146,1.14e-06,1.1737458543722627e-05,-1.0597458543722626e-05
0.0029148,1.44e-06,1.1805793219928106e-05,-1.0365793219928106e-05
0.002915,1.62e-06,1.1861891912622824e-05,-1.0241891912622825e-05
0.0029152,1.74e-06,1.190525954127009e-05,-1.016525954127009e-05
0.0029154,1.56e-06,1.1935840236010192e-05,-1.0375840236010192e-05
0.0029156,1.62e-06,1.1953922482251176e-05,-1.0333922482251176e-05
0.0029158,1.8e-06,1.1960047250366747e-05,-1.0160047250366747e-05
0.002916,2.04e-06,1.195492824601011e-05,-9.91492824601011e-06
0.0029162,2.04e-06,1.1939388071053953e-05,-9.899388071053954e-06
0.0029164,2.04e-06,1.1914310418189254e-05,-9.874310418189255e-06
0.0029166,2.22e-06,1.1880606391008868e-05,-9.660606391008867e-06
