Phi_ext,I_s_measured,I_s_josephson_fit,residuals
-0.0024936,3.5e-07,8.846638857712476e-08,2.615336114228752e-07
-0.0024934,3.4e-07,2.2081621952525184e-08,3.179183780474748e-07
-0.0024932,3.5e-07,-3.1530530562635423e-08,3.815305305626354e-07
-0.002493,3.3e-07,-7.048139051454133e-08,4.0048139051454134e-07
-0.0024928,3.4e-07,-9.288912176019388e-08,4.3288912176019385e-07
-0.0024926,3.4e-07,-9.694256771632275e-08,4.3694256771632273e-07
-0.0024924,3.4e-07,-8.100523238962687e-08,4.2100523238962684e-07
-0.0024922,3.4e-07,-4.377014175605537e-08,3.8377014175605535e-07
-0.002492,4.1e-07,1.552910919072771e-08,3.944708908092723e-07
-0.0024918,4.7e-07,9.685926142673636e-08,3.7314073857326364e-07
-0.0024916,3.6e-07,1.9911156269306103e-07,1.6088843730693896e-07
-0.0024914,5.2e-07,3.198701378646227e-07,2.0012986213537731e-07
-0.0024912,5.2e-07,4.55309532323496e-07,6.469046767650402e-08
-0.002491,9.4e-07,6.003050402055827e-07,3.396949597944173e-07
-0.0024908,8e-07,7.487959491996576e-07,5.120405080034238e-08
-0.0024906,9.2e-07,8.943608745818168e-07,2.5639125418183196e-08
-0.0024904,1e-06,1.0308810240294424e-06,-3.088102402944242e-08
-0.0024902,1.09e-06,1.1531294640835098e-06,-6.312946408350985e-08
-0.00249,1.19e-06,1.257156361062824e-06,-6.715636106282397e-08
-0.0024898,1.15e-06,1.3404212946611286e-06,-1.9042129466112855e-07
-0.0024896,1.23e-06,1.401706748367002e-06,-1.717067483670019e-07
-0.0024894,1.27e-06,1.440894350972593e-06,-1.7089435097259306e-07
-0.0024892,1.3e-06,1.4586900741060973e-06,-1.5869007410609729e-07
-0.002489,1.3e-06,1.4563619510388291e-06,-1.563619510388291e-07
-0.0024888,1.29e-06,1.435524126050767e-06,-1.455241260507671e-07
-0.0024886,1.29e-06,1.397977049452835e-06,-1.0797704945283496e-07
-0.0024884,1.22e-06,1.34559934551233e-06,-1.2559934551232996e-07
-0.0024882,1.19e-06,1.2802808575605052e-06,-9.028085756050512e-08
-0.002488,1.02e-06,1.2038855204170701e-06,-1.8388552041707017e-07
-0.0024878,1.02e-06,1.1182343233024291e-06,-9.823432330242916e-08
-0.0024876,9.5e-07,1.0251009854815025e-06,-7.510098548150245e-08
-0.0024874,9.3e-07,9.262152057400206e-07,3.78479425997937e-09
-0.0024872,8.3e-07,8.232701406416844e-07,6.729859358315556e-09
-0.002487,6.9e-07,7.179320710111154e-07,-2.7932071011115462e-08
-0.0024868,6.5e-07,6.118510970913323e-07,3.814890290866777e-08
-0.0024866,6.6e-07,5.066722524884539e-07,1.533277475115461e-07
-0.0024864,6.9e-07,4.040467208315469e-07,2.8595327916845307e-07
-0.0024862,6.3e-07,3.056429260351357e-07,3.243570739648643e-07
-0.002486,4.4e-07,2.1315716122079794e-07,2.2684283877920208e-07
-0.0024858,4.5e-07,1.2832310544614566e-07,3.216768945538543e-07
-0.0024856,3.8e-07,5.291899936152663e-08,3.270810006384734e-07
-0.0024854,3.4e-07,-1.1229667015725417e-08,3.512296670157254e-07
-0.0024852,3.4e-07,-6.225545109938067e-08,4.0225545109938065e-07
-0.002485,3e-07,-9.826757750637206e-08,3.9826757750637205e-07
